algo,d,r,lr,noise,dist,spectrum,kappa,init_scale,seed,iters,final_loss,min_loss,K_epsilon,time_s,I_conv,F_eps
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0.004887887001686491,0.004408192010095682,40,31.5258948802948,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0.004811801327834312,0.004593939715851801,40,33.547736406326294,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0.0049313685891597845,0.004432890664851528,40,33.52918195724487,1,170100000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0.005991198202018481,0.0045805797553993485,41,33.81204128265381,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0.006005675597540356,0.004635558628007683,41,33.28213906288147,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,0.0058737529209794605,0.004514772323932758,42,33.95826172828674,1,178605000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0.0049958590859879,0.004686441277156847,42,33.53024888038635,1,178605000
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0.004937909109008528,0.004480602408636794,41,33.086432218551636,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,8,2000,0.004930318004733876,0.004462561031751471,41,33.08916211128235,1,174352500
Muon-Exact,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,9,2000,0.0048619140309998764,0.004695623246968283,41,32.55588340759277,1,174352500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0.0011912805627840221,0.0010230348529958622,40,31.432876110076904,1,102100000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0.0012905839763197658,0.0010469331936225168,40,31.65945291519165,1,102100000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0.0012572306284323383,0.0010104169130825268,40,31.86054039001465,1,102100000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0.0011468590451511667,0.001041123720275021,42,32.24935221672058,1,107205000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0.0013606276685649212,0.001000610592996273,42,32.053950786590576,1,107205000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,0.0012714910057104697,0.0010087863661469756,41,32.034748554229736,1,104652500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0.0011695732239727467,0.0009907577382526947,41,32.19727277755737,1,104652500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0.0014111410896667446,0.001043373762346296,41,32.42195916175842,1,104652500
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,8,2000,0.0013178608493105443,0.0010217401469723162,42,32.00560736656189,1,107205000
Muon-RandSVD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,9,2000,0.0013801199485797611,0.0010128990048319665,40,31.979130268096924,1,102100000
Muon-Trunc,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,0.0008335268766318746,0.000548162881467815,41,35.10473155975342,1,104652500
Muon-Trunc,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,0.0007022623644870713,0.0005498451391733973,39,34.71029591560364,1,99547500
Muon-Trunc,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,0.0007966697063407043,0.0005906244762243165,40,34.853856325149536,1,102100000
Muon-Trunc,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,0.0007256864616603726,0.0005230534753437624,40,35.28535580635071,1,102100000
Muon-Trunc,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,0.000832602678908066,0.000556685891502868,41,35.68888854980469,1,104652500
Muon-Trunc,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,0.0006139062909953862,0.0005849986044217072,41,35.68345069885254,1,104652500
Muon-Trunc,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,0.0007947891836502299,0.0005527177236865446,41,35.61285090446472,1,104652500
Muon-Trunc,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,0.0007404705964382472,0.0005718948423631781,40,34.87708759307861,1,102100000
Muon-Trunc,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,8,2000,0.0002897319149626316,0.000274290324851889,42,34.42804002761841,1,107205000
Muon-Trunc,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,9,2000,0.0007423964617259665,0.0005362629246617398,41,35.07694220542908,1,104652500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,0,2000,3.371170946000061e-32,2.811823112251676e-32,46,29.94133734703064,1,115115000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,1,2000,3.5266581917211803e-32,2.638870691200503e-32,46,29.874749422073364,1,115115000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,2,2000,2.9978989403145253e-32,2.47092598893129e-32,47,30.237125873565674,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,3,2000,4.22857930906046e-32,3.201931055843248e-32,47,30.352514266967773,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,4,2000,2.988909662299098e-32,2.6354617951989376e-32,48,30.250555753707886,1,120120000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,5,2000,3.5922156433219063e-32,2.7510224066870326e-32,49,30.652209758758545,1,122622500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,6,2000,4.0360606434805277e-32,2.964088036434592e-32,48,30.19777750968933,1,120120000
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,7,2000,2.9121408910096076e-32,2.530989725365652e-32,47,30.334774494171143,1,117617500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,8,2000,4.363377327585638e-32,2.9739885952865965e-32,49,30.347464323043823,1,122622500
SGD,50,5,0.01,0.0,normal,hard-cutoff,1.0,0.01,9,2000,3.8426683881148837e-32,2.647455523927609e-32,47,29.70939826965332,1,117617500
